Nr;Datum;Zeit;Eintrag
59;2025-12-09;23:22:19; [SmsForegroundService; UPDATE_NOTIFICATION | text=SMS: Aktiv An: +43 6644440286 E-Mail: Aktiv E-Mail: 1 Adressen, success=true | Notification aktualisiert
58;2025-12-09;23:22:19; [PhoneSmsUtils; SEND_SMS_WITH_SUBSCRIPTION | recipient=0043 6644440286, original_recipient=+43 6644440286, parts=2, subscription_id=2, encoding=GSM-7, sms_length=167 | Multi-part SMS sent
57;2025-12-09;23:22:19; [SmsForegroundService; FORWARD_SMS | target=+43 6644440286, length=158, subscription_id=2, is_multipart=false | SMS erfolgreich weitergeleitet
56;2025-12-09;23:22:19; [SmsForegroundService; DETERMINE_SIM | subscription_id=2, slot_index=1 | Using SIM 2
55;2025-12-09;23:22:19; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=2, slot=1, carrier=A1 AT | Telefonnummer konnte nicht automatisch ermittelt werden
54;2025-12-09;23:22:19; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=1, slot=0, method=subscription_info | Telefonnummer ueber Subscription Info ermittelt
53;2025-12-09;23:22:19; [SmsForegroundService; EMAIL_FORWARD_ADDRESSES | count=1, addresses=guenther.meusburger@gmail.com | Email-Adressen geladen
52;2025-12-09;23:22:19; [SmsForegroundService; EMAIL_FORWARD_START | sender=+436648457008, message_length=90 | Email-Weiterleitung gestartet
51;2025-12-09;23:22:19; [SmsForegroundService; CHECK_EMAIL_FORWARDING | enabled=true, sender=+436648457008, message_length=90 | Email-Weiterleitungsstatus geprueft
50;2025-12-09;23:22:19; [SmsForegroundService; PROCESS_MESSAGE_GROUP | sender=+436648457008, parts_count=1, total_length=90, is_multipart=false, subscription_id=1 | Verarbeite SMS-Gruppe
49;2025-12-09;23:22:19; [SmsForegroundService; WAKE_LOCK_ACQUIRED | timeout_ms=120000 | WakeLock aktiviert
48;2025-12-09;23:22:19; [SmsReceiver; FORWARD_TO_SERVICE | has_extras=true, extras_count=7, subscription_id=1 | SMS-Daten an Service uebergeben
47;2025-12-09;23:22:17; [TestUtilsViewModel; TEST_EMAIL_START | sender=+436702026399, email_count=1, message_length=90 | Test-Email-Weiterleitung gestartet
46;2025-12-09;23:22:17; [TestUtilsViewModel; TEST_SMS_SENT | receiver=+436702026399, text=Test: GSM-...e Zeichen) | Test-SMS wurde versendet
45;2025-12-09;23:22:17; [PhoneSmsUtils; SEND_TEST_SMS | recipient=+436702026399, length=99, parts=1, encoding=GSM-7 | Test-SMS erfolgreich gesendet
44;2025-12-09;23:22:17; [PhoneSmsUtils; SEND_SMS | recipient=00436702026399, original_recipient=+436702026399, encoding=GSM-7, text=Test: GSM-...e Zeichen) | Single SMS sent
43;2025-12-09;23:22:11; [ContactsViewModel; INIT | ViewModel erfolgreich initialisiert
42;2025-12-09;23:22:11; [ContactsViewModel; INIT_SIM_SELECTION | sms_mode=ALWAYS_SIM_2, mmi_mode=DEFAULT_VOICE_SIM, available_sims=2, default_sms_sub_id=2, default_voice_sub_id=2 | SIM-Auswahl initialisiert
41;2025-12-09;23:22:11; [PhoneSmsUtils; GET_DEFAULT_SIMS | sms_sub_id=2, voice_sub_id=2 | Default SIM IDs ermittelt
40;2025-12-09;23:22:11; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=2, slot=1, carrier=A1 AT | Telefonnummer konnte nicht automatisch ermittelt werden
39;2025-12-09;23:22:11; [PhoneSmsUtils; GET_SIM_NUMBER | subscription_id=1, slot=0, method=subscription_info | Telefonnummer ueber Subscription Info ermittelt
38;2025-12-09;23:22:11; [ContactsViewModel; COUNTRY_CODE_INIT | source=sim, code=+43 | Laendercode von SIM-Karte ermittelt
37;2025-12-09;23:22:11; [ContactsViewModel; RESTORE_CONTACT | contact=Dani, number=+43 6644440286, forwarding_active=true | Gespeicherter Kontakt wiederhergestellt
2;2025-12-09;23:21:56; [Logger; INIT | Logger initialized. Device: samsung SM-A536B, Android: 16 (API 36)
